# $E$ (ev)	Int (arb. units)
-5.462359e+00	1.733655e+00
-5.472698e+00	1.768221e+00
-5.483037e+00	1.802786e+00
-5.493376e+00	1.837351e+00
-5.503716e+00	1.837494e+00
-5.514055e+00	1.831225e+00
-5.524394e+00	1.824956e+00
-5.534733e+00	1.818686e+00
-5.545073e+00	1.812417e+00
-5.555412e+00	1.806147e+00
-5.565751e+00	1.799878e+00
-5.576090e+00	1.793609e+00
-5.586430e+00	1.787339e+00
-5.596769e+00	1.778701e+00
-5.607108e+00	1.758590e+00
-5.617447e+00	1.738479e+00
-5.627787e+00	1.718368e+00
-5.638126e+00	1.698256e+00
-5.648465e+00	1.678145e+00
-5.658805e+00	1.658034e+00
-5.669144e+00	1.637923e+00
-5.679483e+00	1.617811e+00
-5.689822e+00	1.597700e+00
-5.700162e+00	1.600982e+00
-5.710501e+00	1.627728e+00
-5.720840e+00	1.654475e+00
-5.731179e+00	1.681222e+00
-5.741519e+00	1.707969e+00
-5.751858e+00	1.734716e+00
-5.762197e+00	1.761463e+00
-5.772536e+00	1.788210e+00
-5.782876e+00	1.814957e+00
-5.793215e+00	1.841704e+00
-5.803554e+00	1.813392e+00
-5.813893e+00	1.773590e+00
-5.824233e+00	1.733788e+00
-5.834572e+00	1.693987e+00
-5.844911e+00	1.654185e+00
-5.855250e+00	1.614383e+00
-5.865590e+00	1.574581e+00
-5.875929e+00	1.534779e+00
-5.886268e+00	1.494977e+00
-5.896607e+00	1.466190e+00
-5.906947e+00	1.497241e+00
-5.917286e+00	1.528291e+00
-5.927625e+00	1.559341e+00
-5.937964e+00	1.590391e+00
-5.948304e+00	1.621441e+00
-5.958643e+00	1.652492e+00
-5.968982e+00	1.683542e+00
-5.979321e+00	1.714592e+00
-5.989661e+00	1.745642e+00
-6.000000e+00	1.749270e+00
